John Herzfeld,104 min,48 hours of intersecting lives and crimes in Los Angeles.,"<a href=""http://http://www.imdb.com/title/tt0115438/"">2 Days in the Valley</a>",2 Days in the Valley,1996,John Herzfeld,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1ODM4NzQ1NV5BMl5BanBnXkFtZTcwNDQyMDU1MQ@@._V1_SX300.jpg,"Comedy, Crime, Thriller",tt0115438,"Danny Aiello, Greg Cruttwell, Jeff Daniels, Teri Hatcher",R
,,,,,,,,,,,
"Phil Hay, Matt Manfredi, Peter Chung (characters)",93 min,"Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.","<a href=""http://http://www.imdb.com/title/tt0402022/"">Æon Flux</a>",Æon Flux,2005,Karyn Kusama,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2Mzg0NjA2N15BMl5BanBnXkFtZTcwOTc5NjQzMw@@._V1_SX300.jpg,"Action, Sci-Fi",tt0402022,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo",PG-13
,,,,,,,,,,,
Dan Bucatinsky,95 min,&quot;All Over The Guy&quot; is a contemporary romantic comedy about the quest to find the &quot;one&quot; when &quot;the one&quot; doesn't know he's the &quot;one.&quot; It explores the unlikely pairing of two 20-somethings ...,"<a href=""http://http://www.imdb.com/title/tt0250202/"">All Over the Guy</a>",All Over the Guy,2001,Julie Davis,https://images-na.ssl-images-amazon.com/images/M/MV5BMzAxMjBkYzEtOGNjZC00OGE4LWJlNmEtNWNmNTE2YmM4OTVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Comedy, Romance",tt0250202,"Dan Bucatinsky, Richard Ruccolo, Sasha Alexander, Adam Goldberg",R
,,,,,,,,,,,
"John Milius, Francis Ford Coppola, Michael Herr (narration)",153 min,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.","<a href=""http://http://www.imdb.com/title/tt0078788/"">Apocalypse Now</a>",Apocalypse Now,1979,Francis Ford Coppola,https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"Drama, War",tt0078788,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest",R
,,,,,,,,,,,
"Craig Bolotin, Warren Lewis",125 min,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,"<a href=""http://http://www.imdb.com/title/tt0096933/"">Black Rain</a>",Black Rain,1989,Ridley Scott,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MTEwNjYzNF5BMl5BanBnXkFtZTcwNDk4OTUzMQ@@._V1_SX300.jpg,"Action, Crime, Thriller",tt0096933,"Michael Douglas, Andy Garcia, Ken Takakura, Kate Capshaw",R
,,,,,,,,,,,
